throughput,payload,rsrp,rsrq,sinr,cqi,ta,velocity,cell,f
3.686650,0.100000,-83.000000,-7.000000,19.000000,10.000000,3.000000,14.630000,29391106.000000,1815.000000
22.304800,9.000000,-91.000000,-7.000000,8.000000,10.000000,3.000000,13.550000,29391106.000000,1815.000000
15.625000,4.000000,-96.000000,-13.000000,0.000000,6.000000,3.000000,9.500000,29391106.000000,1815.000000
21.993100,8.000000,-91.000000,-6.000000,25.000000,8.000000,6.000000,0.000000,26385410.000000,1815.000000
15.534000,2.000000,-89.000000,-7.000000,27.000000,10.000000,6.000000,8.970000,26385410.000000,1815.000000
26.468200,8.000000,-86.000000,-8.000000,30.000000,11.000000,6.000000,12.660000,26385410.000000,1815.000000
16.701500,1.000000,-83.000000,-6.000000,17.000000,15.000000,6.000000,12.750000,26385410.000000,1815.000000
23.289700,2.000000,-76.000000,-6.000000,32.000000,11.000000,6.000000,3.870000,26385410.000000,1815.000000
3.319510,0.100000,-66.000000,-7.000000,40.000000,13.000000,6.000000,0.000000,26385410.000000,1815.000000
28.712400,8.000000,-69.000000,-6.000000,16.000000,14.000000,6.000000,1.570000,26385410.000000,1815.000000
8.547010,0.500000,-69.000000,-5.000000,37.000000,12.000000,6.000000,8.720000,26385410.000000,1815.000000
15.094300,2.000000,-72.000000,-6.000000,15.000000,12.000000,6.000000,12.070000,26385410.000000,1815.000000
25.477700,4.000000,-76.000000,-7.000000,18.000000,12.000000,2.000000,12.120000,26385408.000000,1815.000000
26.684500,5.000000,-73.000000,-6.000000,12.000000,9.000000,2.000000,13.000000,26385408.000000,1815.000000
25.498000,4.000000,-80.000000,-6.000000,13.000000,11.000000,2.000000,13.660000,26385408.000000,1815.000000
28.208700,10.000000,-78.000000,-6.000000,18.000000,11.000000,2.000000,12.330000,26385408.000000,1815.000000
4.878070,0.100000,-90.000000,-7.000000,11.000000,9.000000,2.000000,13.360000,26385408.000000,1815.000000
24.539900,4.000000,-87.000000,-6.000000,9.000000,9.000000,2.000000,11.970000,26385408.000000,1815.000000
32.760000,10.000000,-84.000000,-7.000000,21.000000,12.000000,4.000000,0.000000,29391105.000000,1815.000000
33.644900,9.000000,-75.000000,-6.000000,29.000000,15.000000,4.000000,0.000000,29391105.000000,1815.000000
31.298900,10.000000,-75.000000,-6.000000,28.000000,15.000000,4.000000,0.000000,29391105.000000,1815.000000
14.234900,1.000000,-77.000000,-6.000000,23.000000,11.000000,4.000000,0.000000,29391105.000000,1815.000000
9.950250,1.000000,-92.000000,-7.000000,11.000000,8.000000,4.000000,11.310000,29391105.000000,1815.000000
11.678800,1.000000,-92.000000,-7.000000,14.000000,9.000000,4.000000,11.020000,29391105.000000,1815.000000
17.872100,8.000000,-98.000000,-10.000000,12.000000,6.000000,4.000000,12.590000,29391105.000000,1815.000000
26.243800,6.000000,-97.000000,-8.000000,13.000000,9.000000,4.000000,10.530000,29391105.000000,1815.000000
8.928570,0.500000,-95.000000,-10.000000,8.000000,11.000000,4.000000,11.460000,29391105.000000,1815.000000
31.482300,9.000000,-89.000000,-9.000000,11.000000,10.000000,3.000000,14.040000,29391104.000000,1815.000000
22.503500,2.000000,-81.000000,-6.000000,17.000000,9.000000,3.000000,14.030000,29391104.000000,1815.000000
21.422200,9.000000,-75.000000,-7.000000,23.000000,15.000000,3.000000,14.770000,29391104.000000,1815.000000
28.841800,8.000000,-86.000000,-7.000000,16.000000,15.000000,3.000000,13.820000,29391106.000000,1815.000000
19.704400,4.000000,-90.000000,-7.000000,23.000000,9.000000,3.000000,14.230000,29391106.000000,1815.000000
15.743600,7.000000,-92.000000,-9.000000,23.000000,8.000000,3.000000,12.360000,29391106.000000,1815.000000
21.774600,5.000000,-92.000000,-7.000000,27.000000,8.000000,7.000000,0.000000,26385410.000000,1815.000000
21.404700,4.000000,-93.000000,-7.000000,25.000000,8.000000,7.000000,0.000000,26385410.000000,1815.000000
26.890800,10.000000,-93.000000,-7.000000,14.000000,9.000000,7.000000,0.000000,26385410.000000,1815.000000
27.224100,7.000000,-92.000000,-7.000000,12.000000,9.000000,7.000000,8.570000,26385410.000000,1815.000000
26.773800,5.000000,-87.000000,-6.000000,18.000000,10.000000,7.000000,13.420000,26385410.000000,1815.000000
8.602150,0.500000,-81.000000,-6.000000,11.000000,15.000000,7.000000,14.760000,26385410.000000,1815.000000
28.933100,6.000000,-75.000000,-6.000000,29.000000,15.000000,7.000000,1.560000,26385410.000000,1815.000000
30.004700,8.000000,-65.000000,-6.000000,25.000000,15.000000,7.000000,0.000000,26385410.000000,1815.000000
31.034500,9.000000,-71.000000,-6.000000,38.000000,14.000000,7.000000,8.370000,26385410.000000,1815.000000
24.922100,7.000000,-75.000000,-5.000000,38.000000,12.000000,7.000000,10.830000,26385410.000000,1815.000000
31.767000,6.000000,-73.000000,-8.000000,18.000000,13.000000,1.000000,12.980000,26385408.000000,1815.000000
23.032600,3.000000,-75.000000,-6.000000,14.000000,10.000000,1.000000,13.040000,26385408.000000,1815.000000
21.650900,2.000000,-79.000000,-6.000000,14.000000,15.000000,1.000000,13.430000,26385408.000000,1815.000000
26.402600,3.000000,-81.000000,-6.000000,9.000000,15.000000,1.000000,13.260000,26385408.000000,1815.000000
30.257200,10.000000,-87.000000,-7.000000,25.000000,13.000000,7.000000,8.080000,26385408.000000,1815.000000
27.982900,9.000000,-85.000000,-6.000000,2.000000,10.000000,7.000000,5.670000,26385408.000000,1815.000000
31.746000,8.000000,-82.000000,-8.000000,11.000000,9.000000,2.000000,7.480000,29391105.000000,1815.000000
33.571100,10.000000,-83.000000,-5.000000,28.000000,11.000000,2.000000,1.960000,29391105.000000,1815.000000
3.603620,0.100000,-79.000000,-5.000000,22.000000,11.000000,2.000000,0.000000,29391105.000000,1815.000000
29.906500,8.000000,-77.000000,-6.000000,27.000000,12.000000,2.000000,4.910000,29391105.000000,1815.000000
9.111620,0.500000,-96.000000,-7.000000,12.000000,8.000000,2.000000,9.690000,29391105.000000,1815.000000
22.183700,8.000000,-86.000000,-5.000000,17.000000,11.000000,2.000000,12.470000,29391105.000000,1815.000000
15.488900,2.000000,-99.000000,-8.000000,10.000000,10.000000,2.000000,12.440000,29391105.000000,1815.000000
23.738900,3.000000,-90.000000,-8.000000,15.000000,10.000000,2.000000,10.660000,29391105.000000,1815.000000
7.707130,2.000000,-92.000000,-9.000000,7.000000,12.000000,2.000000,12.750000,29391105.000000,1815.000000
28.469800,7.000000,-85.000000,-6.000000,11.000000,10.000000,3.000000,13.770000,29391104.000000,1815.000000
8.583690,0.500000,-80.000000,-6.000000,15.000000,13.000000,3.000000,14.000000,29391104.000000,1815.000000
5.082590,0.500000,-85.000000,-10.000000,12.000000,10.000000,3.000000,13.760000,29391104.000000,1815.000000
8.048290,0.500000,-84.000000,-6.000000,12.000000,14.000000,3.000000,14.080000,29391106.000000,1815.000000
17.216600,3.000000,-90.000000,-8.000000,14.000000,11.000000,3.000000,12.760000,29391106.000000,1815.000000
8.556150,1.000000,-91.000000,-8.000000,13.000000,8.000000,3.000000,12.540000,29391106.000000,1815.000000
19.789700,4.000000,-91.000000,-7.000000,24.000000,6.000000,5.000000,0.000000,26385410.000000,1815.000000
3.652980,0.100000,-92.000000,-7.000000,24.000000,6.000000,5.000000,0.000000,26385410.000000,1815.000000
7.561440,0.500000,-91.000000,-8.000000,21.000000,6.000000,5.000000,0.000000,26385410.000000,1815.000000
24.539900,5.000000,-92.000000,-7.000000,25.000000,7.000000,5.000000,2.890000,26385410.000000,1815.000000
20.539200,2.000000,-86.000000,-10.000000,23.000000,12.000000,5.000000,13.510000,26385410.000000,1815.000000
27.288200,6.000000,-81.000000,-6.000000,36.000000,15.000000,5.000000,13.180000,26385410.000000,1815.000000
12.598400,1.000000,-77.000000,-7.000000,26.000000,15.000000,5.000000,2.120000,26385410.000000,1815.000000
25.890000,4.000000,-70.000000,-6.000000,35.000000,15.000000,5.000000,7.870000,26385410.000000,1815.000000
14.519100,1.000000,-72.000000,-6.000000,37.000000,13.000000,5.000000,12.110000,26385410.000000,1815.000000
29.207700,10.000000,-71.000000,-6.000000,19.000000,12.000000,1.000000,11.230000,26385408.000000,1815.000000
33.250200,10.000000,-74.000000,-6.000000,17.000000,12.000000,1.000000,8.640000,26385408.000000,1815.000000
27.933000,5.000000,-76.000000,-8.000000,10.000000,11.000000,1.000000,9.590000,26385408.000000,1815.000000
19.851100,2.000000,-74.000000,-6.000000,18.000000,11.000000,1.000000,12.110000,26385408.000000,1815.000000
8.000000,0.500000,-87.000000,-6.000000,18.000000,12.000000,1.000000,13.100000,26385408.000000,1815.000000
27.972000,9.000000,-85.000000,-6.000000,12.000000,15.000000,1.000000,12.730000,26385408.000000,1815.000000
31.434200,6.000000,-83.000000,-6.000000,27.000000,12.000000,4.000000,3.490000,29391105.000000,1815.000000
33.898300,9.000000,-82.000000,-6.000000,34.000000,12.000000,4.000000,0.000000,29391105.000000,1815.000000
7.011390,1.000000,-87.000000,-6.000000,30.000000,11.000000,4.000000,13.200000,29391105.000000,1815.000000
24.630500,5.000000,-94.000000,-9.000000,16.000000,8.000000,4.000000,11.050000,29391105.000000,1815.000000
16.835000,5.000000,-96.000000,-7.000000,22.000000,6.000000,4.000000,12.170000,29391105.000000,1815.000000
27.303800,5.000000,-91.000000,-9.000000,23.000000,9.000000,4.000000,11.830000,29391105.000000,1815.000000
20.208400,8.000000,-92.000000,-10.000000,19.000000,8.000000,4.000000,10.840000,29391105.000000,1815.000000
26.666700,6.000000,-90.000000,-7.000000,19.000000,11.000000,4.000000,13.630000,29391104.000000,1815.000000
33.027500,9.000000,-78.000000,-5.000000,27.000000,12.000000,4.000000,12.880000,29391104.000000,1815.000000
26.229500,7.000000,-83.000000,-7.000000,28.000000,15.000000,4.000000,14.720000,29391104.000000,1815.000000
6.980800,0.500000,-79.000000,-7.000000,15.000000,12.000000,3.000000,14.610000,29391106.000000,1815.000000
24.140000,5.000000,-88.000000,-7.000000,14.000000,15.000000,3.000000,14.980000,29391106.000000,1815.000000
7.736940,0.500000,-92.000000,-8.000000,9.000000,8.000000,3.000000,14.280000,29391106.000000,1815.000000
4.624300,0.100000,-91.000000,-8.000000,15.000000,12.000000,7.000000,1.190000,26385410.000000,1815.000000
25.733800,8.000000,-92.000000,-7.000000,14.000000,7.000000,7.000000,8.730000,26385410.000000,1815.000000
24.974000,3.000000,-88.000000,-7.000000,21.000000,11.000000,7.000000,14.430000,26385410.000000,1815.000000
25.052200,6.000000,-82.000000,-5.000000,26.000000,15.000000,7.000000,14.140000,26385410.000000,1815.000000
13.050600,1.000000,-74.000000,-6.000000,19.000000,15.000000,7.000000,2.100000,26385410.000000,1815.000000
4.790440,0.100000,-68.000000,-7.000000,31.000000,15.000000,7.000000,7.630000,26385410.000000,1815.000000
27.416000,5.000000,-72.000000,-8.000000,29.000000,15.000000,7.000000,5.840000,26385410.000000,1815.000000
29.317500,8.000000,-73.000000,-6.000000,21.000000,12.000000,7.000000,9.650000,26385410.000000,1815.000000
16.359900,1.000000,-74.000000,-7.000000,21.000000,10.000000,1.000000,10.490000,26385408.000000,1815.000000
30.379700,6.000000,-73.000000,-5.000000,20.000000,11.000000,1.000000,10.130000,26385408.000000,1815.000000
8.565310,0.500000,-75.000000,-5.000000,21.000000,10.000000,1.000000,9.950000,26385408.000000,1815.000000
28.821400,7.000000,-75.000000,-5.000000,23.000000,13.000000,1.000000,12.110000,26385408.000000,1815.000000
19.842900,6.000000,-88.000000,-6.000000,12.000000,12.000000,1.000000,13.540000,26385408.000000,1815.000000
25.259400,7.000000,-86.000000,-5.000000,13.000000,11.000000,1.000000,12.730000,26385408.000000,1815.000000
25.236600,4.000000,-81.000000,-5.000000,32.000000,12.000000,5.000000,5.240000,29391105.000000,1815.000000
28.385600,6.000000,-80.000000,-6.000000,38.000000,13.000000,5.000000,0.000000,29391105.000000,1815.000000
22.377600,2.000000,-80.000000,-7.000000,34.000000,13.000000,5.000000,0.000000,29391105.000000,1815.000000
4.166680,0.100000,-80.000000,-9.000000,36.000000,13.000000,5.000000,0.000000,29391105.000000,1815.000000
18.285700,2.000000,-92.000000,-6.000000,20.000000,15.000000,5.000000,8.960000,29391105.000000,1815.000000
9.900990,0.500000,-96.000000,-7.000000,12.000000,10.000000,5.000000,8.460000,29391105.000000,1815.000000
11.251800,1.000000,-91.000000,-6.000000,28.000000,15.000000,5.000000,9.050000,29391105.000000,1815.000000
14.285700,3.000000,-94.000000,-8.000000,17.000000,13.000000,5.000000,8.570000,29391105.000000,1815.000000
7.843140,0.500000,-90.000000,-7.000000,30.000000,11.000000,5.000000,10.790000,29391105.000000,1815.000000
20.236100,3.000000,-93.000000,-12.000000,13.000000,14.000000,5.000000,11.490000,29391105.000000,1815.000000
26.990600,5.000000,-85.000000,-6.000000,10.000000,12.000000,4.000000,13.380000,29391104.000000,1815.000000
14.652000,1.000000,-74.000000,-5.000000,27.000000,15.000000,4.000000,13.580000,29391104.000000,1815.000000
13.751600,4.000000,-81.000000,-7.000000,4.000000,11.000000,4.000000,14.720000,29391104.000000,1815.000000
27.293400,9.000000,-84.000000,-8.000000,14.000000,15.000000,3.000000,14.320000,29391106.000000,1815.000000
22.509800,10.000000,-89.000000,-7.000000,13.000000,10.000000,3.000000,14.390000,29391106.000000,1815.000000
12.412700,4.000000,-90.000000,-7.000000,8.000000,12.000000,3.000000,10.190000,29391106.000000,1815.000000
15.564200,2.000000,-91.000000,-8.000000,4.000000,12.000000,7.000000,6.260000,26385410.000000,1815.000000
22.580600,7.000000,-87.000000,-6.000000,22.000000,11.000000,7.000000,13.270000,26385410.000000,1815.000000
27.572600,7.000000,-84.000000,-6.000000,19.000000,11.000000,7.000000,13.340000,26385410.000000,1815.000000
20.512800,2.000000,-81.000000,-7.000000,22.000000,13.000000,7.000000,7.730000,26385410.000000,1815.000000
25.183600,6.000000,-70.000000,-6.000000,29.000000,15.000000,7.000000,0.000000,26385410.000000,1815.000000
19.688300,3.000000,-71.000000,-6.000000,29.000000,12.000000,7.000000,0.000000,26385410.000000,1815.000000
26.373600,9.000000,-70.000000,-7.000000,28.000000,15.000000,7.000000,0.000000,26385410.000000,1815.000000
3.225820,0.100000,-70.000000,-7.000000,28.000000,12.000000,7.000000,0.000000,26385410.000000,1815.000000
23.278400,3.000000,-69.000000,-7.000000,27.000000,12.000000,7.000000,1.500000,26385410.000000,1815.000000
26.666700,6.000000,-68.000000,-6.000000,31.000000,12.000000,7.000000,6.940000,26385410.000000,1815.000000
22.087200,5.000000,-72.000000,-7.000000,27.000000,12.000000,7.000000,15.150000,26385410.000000,1815.000000
32.258100,7.000000,-73.000000,-6.000000,19.000000,15.000000,1.000000,14.010000,26385408.000000,1815.000000
18.845700,2.000000,-74.000000,-6.000000,11.000000,12.000000,1.000000,12.360000,26385408.000000,1815.000000
34.188000,9.000000,-77.000000,-6.000000,19.000000,11.000000,1.000000,13.580000,26385408.000000,1815.000000
27.220100,10.000000,-90.000000,-6.000000,11.000000,2.000000,7.000000,13.520000,26385408.000000,1815.000000
26.337400,4.000000,-78.000000,-6.000000,21.000000,10.000000,4.000000,12.310000,29391105.000000,1815.000000
24.323500,10.000000,-77.000000,-5.000000,30.000000,13.000000,4.000000,0.000000,29391105.000000,1815.000000
12.903200,1.000000,-74.000000,-4.000000,31.000000,15.000000,4.000000,0.000000,29391105.000000,1815.000000
12.307700,1.000000,-75.000000,-5.000000,30.000000,14.000000,4.000000,0.000000,29391105.000000,1815.000000
30.636700,8.000000,-74.000000,-5.000000,30.000000,13.000000,4.000000,0.000000,29391105.000000,1815.000000
25.990900,10.000000,-74.000000,-5.000000,25.000000,13.000000,4.000000,0.000000,29391105.000000,1815.000000
23.034800,10.000000,-78.000000,-5.000000,28.000000,13.000000,4.000000,10.580000,29391105.000000,1815.000000
22.026400,5.000000,-97.000000,-6.000000,13.000000,7.000000,4.000000,12.060000,29391105.000000,1815.000000
13.066600,4.000000,-91.000000,-6.000000,14.000000,11.000000,4.000000,10.770000,29391105.000000,1815.000000
21.778600,6.000000,-101.000000,-8.000000,11.000000,9.000000,4.000000,12.440000,29391105.000000,1815.000000
13.840800,1.000000,-91.000000,-9.000000,15.000000,9.000000,4.000000,8.080000,29391105.000000,1815.000000
26.490100,3.000000,-89.000000,-7.000000,30.000000,12.000000,4.000000,8.640000,29391104.000000,1815.000000
25.931900,4.000000,-85.000000,-7.000000,22.000000,12.000000,4.000000,0.000000,29391104.000000,1815.000000
22.440400,2.000000,-81.000000,-6.000000,36.000000,11.000000,4.000000,8.540000,29391104.000000,1815.000000
27.529200,5.000000,-78.000000,-5.000000,33.000000,15.000000,4.000000,10.990000,29391104.000000,1815.000000
