throughput,payload,rsrp,rsrq,sinr,cqi,ta,velocity,cell,f
15.033600,7.000000,-81.000000,-7.000000,24.000000,1.000000,9.000000,11.320000,13416962.000000,850.000000
3.715400,10.000000,-91.000000,-9.000000,3.000000,5.000000,9.000000,12.190000,13416962.000000,850.000000
2.547780,0.100000,-101.000000,-14.000000,-9.000000,4.000000,10.000000,12.190000,13416962.000000,850.000000
0.234425,0.500000,-93.000000,-11.000000,-9.000000,6.000000,10.000000,8.820000,13416962.000000,850.000000
3.673940,6.000000,-98.000000,-17.000000,-7.000000,4.000000,12.000000,14.210000,13542402.000000,850.000000
2.095580,9.000000,-99.000000,-15.000000,-2.000000,5.000000,12.000000,14.340000,13542402.000000,850.000000
1.389770,6.000000,-97.000000,-17.000000,-5.000000,4.000000,12.000000,13.550000,13542402.000000,850.000000
1.374810,2.000000,-93.000000,-13.000000,0.000000,7.000000,16.000000,0.000000,13542403.000000,850.000000
1.249320,6.000000,-100.000000,-17.000000,-6.000000,2.000000,12.000000,0.000000,13542402.000000,850.000000
0.549602,0.500000,-89.000000,-12.000000,5.000000,8.000000,16.000000,0.000000,13542403.000000,850.000000
2.124780,10.000000,-89.000000,-12.000000,-1.000000,4.000000,12.000000,0.000000,13542402.000000,850.000000
0.093099,0.100000,-89.000000,-13.000000,4.000000,7.000000,16.000000,8.520000,13542403.000000,850.000000
0.460564,0.500000,-89.000000,-12.000000,2.000000,6.000000,16.000000,13.160000,13542403.000000,850.000000
0.033307,0.100000,-100.000000,-16.000000,-3.000000,3.000000,16.000000,0.000000,13542403.000000,850.000000
0.445211,5.000000,-103.000000,-17.000000,-8.000000,3.000000,12.000000,10.830000,13542402.000000,850.000000
0.852580,7.000000,-103.000000,-18.000000,-7.000000,4.000000,16.000000,13.260000,13542403.000000,850.000000
5.980560,3.000000,-98.000000,-13.000000,-2.000000,5.000000,7.000000,5.510000,13828122.000000,1845.000000
