throughput,payload,rsrp,rsrq,sinr,cqi,ta,velocity,cell,f
7.231090,9.000000,-111.000000,-9.000000,6.000000,7.000000,17.000000,11.660000,12806666.000000,1865.100000
7.471980,6.000000,-107.000000,-10.000000,2.000000,6.000000,71.000000,12.500000,13067274.000000,1865.100000
3.819760,8.000000,-110.000000,-9.000000,5.000000,7.000000,17.000000,12.500000,12806666.000000,1865.100000
7.128850,5.000000,-103.000000,-9.000000,4.000000,8.000000,71.000000,13.220000,13067274.000000,1865.100000
4.171880,5.000000,-115.000000,-22.000000,-6.000000,6.000000,62.000000,0.000000,13067274.000000,1865.100000
6.640380,8.000000,-113.000000,-10.000000,2.000000,8.000000,21.000000,0.000000,13392904.000000,1865.100000
8.588960,7.000000,-111.000000,-9.000000,3.000000,9.000000,20.000000,0.000000,13392904.000000,1865.100000
1.488810,7.000000,-116.000000,-11.000000,-5.000000,12.000000,71.000000,0.000000,13067274.000000,1865.100000
3.755880,0.100000,-110.000000,-9.000000,0.000000,6.000000,20.000000,0.000000,13392904.000000,1865.100000
4.159950,10.000000,-111.000000,-9.000000,-2.000000,7.000000,20.000000,10.350000,13392904.000000,1865.100000
2.691490,3.000000,-110.000000,-7.000000,2.000000,6.000000,17.000000,10.620000,12806666.000000,1865.100000
8.134210,6.000000,-108.000000,-11.000000,2.000000,9.000000,17.000000,12.540000,12806666.000000,1865.100000
9.002250,3.000000,-105.000000,-7.000000,5.000000,8.000000,17.000000,10.030000,12806666.000000,1865.100000
10.512500,1.000000,-94.000000,-7.000000,21.000000,12.000000,17.000000,9.650000,12806666.000000,1865.100000
8.368200,0.500000,-105.000000,-8.000000,9.000000,8.000000,17.000000,13.580000,12806666.000000,1865.100000
12.439500,9.000000,-104.000000,-9.000000,14.000000,8.000000,17.000000,14.010000,12806666.000000,1865.100000
11.880000,5.000000,-105.000000,-8.000000,10.000000,10.000000,17.000000,14.270000,12806666.000000,1865.100000
3.827770,0.100000,-101.000000,-8.000000,18.000000,11.000000,17.000000,13.610000,12806666.000000,1865.100000
8.138350,3.000000,-102.000000,-7.000000,10.000000,11.000000,17.000000,14.140000,12806666.000000,1865.100000
7.174890,4.000000,-107.000000,-8.000000,12.000000,13.000000,17.000000,12.330000,12806666.000000,1865.100000
10.796200,4.000000,-108.000000,-9.000000,11.000000,8.000000,17.000000,0.000000,12806666.000000,1865.100000
3.738330,0.100000,-107.000000,-8.000000,11.000000,10.000000,17.000000,0.000000,12806666.000000,1865.100000
5.605380,5.000000,-105.000000,-7.000000,11.000000,10.000000,17.000000,13.010000,12806666.000000,1865.100000
3.720940,0.100000,-113.000000,-10.000000,1.000000,7.000000,17.000000,12.320000,12806666.000000,1865.100000
8.674700,9.000000,-109.000000,-8.000000,10.000000,11.000000,17.000000,9.030000,12806666.000000,1865.100000
7.322180,7.000000,-110.000000,-10.000000,-5.000000,6.000000,17.000000,0.000000,12806666.000000,1865.100000
6.540530,7.000000,-108.000000,-10.000000,-3.000000,8.000000,17.000000,12.740000,12806666.000000,1865.100000
4.772860,7.000000,-113.000000,-11.000000,-7.000000,7.000000,17.000000,12.960000,12806666.000000,1865.100000
7.034510,4.000000,-110.000000,-11.000000,-5.000000,9.000000,17.000000,13.450000,12806666.000000,1865.100000
8.159100,2.000000,-97.000000,-8.000000,8.000000,13.000000,71.000000,12.960000,13067274.000000,1865.100000
1.564880,5.000000,-113.000000,-15.000000,-6.000000,4.000000,22.000000,10.930000,13532675.000000,860.000000
1.176730,2.000000,-113.000000,-18.000000,-9.000000,3.000000,18.000000,4.620000,13532163.000000,NaN
0.758869,0.500000,-111.000000,-17.000000,-4.000000,4.000000,34.000000,4.620000,12973569.000000,860.000000
1.587310,0.100000,-115.000000,-10.000000,-1.000000,7.000000,21.000000,4.430000,13392904.000000,1865.100000
18.177200,9.000000,-110.000000,-9.000000,4.000000,6.000000,16.000000,0.000000,12806666.000000,1865.100000
4.412580,7.000000,-113.000000,-10.000000,0.000000,7.000000,16.000000,9.460000,12806666.000000,1865.100000
2.038740,1.000000,-115.000000,-10.000000,2.000000,6.000000,16.000000,10.390000,12806666.000000,1865.100000
8.807800,7.000000,-109.000000,-10.000000,4.000000,6.000000,16.000000,12.820000,12806666.000000,1865.100000
5.961250,1.000000,-106.000000,-8.000000,13.000000,8.000000,14.000000,12.430000,12806666.000000,1865.100000
14.598500,3.000000,-97.000000,-7.000000,18.000000,11.000000,14.000000,10.900000,12806666.000000,1865.100000
10.769600,6.000000,-99.000000,-7.000000,14.000000,9.000000,14.000000,13.740000,12806666.000000,1865.100000
4.624300,0.100000,-102.000000,-8.000000,7.000000,8.000000,14.000000,13.250000,12806666.000000,1865.100000
5.544010,1.000000,-100.000000,-8.000000,11.000000,8.000000,14.000000,14.020000,12806666.000000,1865.100000
13.011700,6.000000,-105.000000,-12.000000,12.000000,15.000000,14.000000,13.290000,12806666.000000,1865.100000
18.283400,9.000000,-100.000000,-8.000000,14.000000,10.000000,14.000000,14.300000,12806666.000000,1865.100000
7.093770,8.000000,-101.000000,-8.000000,9.000000,7.000000,14.000000,12.580000,12806666.000000,1865.100000
5.538250,2.000000,-108.000000,-9.000000,6.000000,8.000000,14.000000,11.350000,12806666.000000,1865.100000
8.299710,9.000000,-108.000000,-9.000000,16.000000,8.000000,14.000000,0.000000,12806666.000000,1865.100000
7.106900,6.000000,-105.000000,-7.000000,10.000000,15.000000,14.000000,0.000000,12806666.000000,1865.100000
6.519970,4.000000,-105.000000,-9.000000,9.000000,15.000000,14.000000,0.000000,12806666.000000,1865.100000
5.162960,6.000000,-105.000000,-8.000000,12.000000,10.000000,14.000000,13.140000,12806666.000000,1865.100000
4.314990,0.500000,-107.000000,-11.000000,1.000000,10.000000,14.000000,13.500000,12806666.000000,1865.100000
9.092390,7.000000,-111.000000,-10.000000,4.000000,8.000000,14.000000,11.200000,12806666.000000,1865.100000
9.719060,8.000000,-108.000000,-9.000000,6.000000,7.000000,14.000000,4.680000,12806666.000000,1865.100000
3.652550,4.000000,-111.000000,-10.000000,3.000000,7.000000,14.000000,12.460000,12806666.000000,1865.100000
4.904540,7.000000,-108.000000,-10.000000,0.000000,9.000000,71.000000,8.640000,13067274.000000,1865.100000
4.571450,0.100000,-100.000000,-13.000000,12.000000,11.000000,71.000000,8.640000,13067274.000000,1865.100000
5.833330,7.000000,-103.000000,-13.000000,6.000000,11.000000,71.000000,10.510000,13067274.000000,1865.100000
0.651095,2.000000,-115.000000,-11.000000,-1.000000,7.000000,71.000000,0.830000,13067274.000000,1865.100000
5.504430,8.000000,-112.000000,-10.000000,6.000000,8.000000,17.000000,10.980000,12806666.000000,1865.100000
8.718400,5.000000,-112.000000,-14.000000,-4.000000,5.000000,17.000000,11.380000,12806666.000000,1865.100000
7.816320,4.000000,-102.000000,-9.000000,13.000000,8.000000,17.000000,12.280000,12806666.000000,1865.100000
9.675860,5.000000,-107.000000,-11.000000,8.000000,8.000000,17.000000,12.800000,12806666.000000,1865.100000
9.681320,9.000000,-106.000000,-8.000000,5.000000,13.000000,17.000000,14.760000,12806666.000000,1865.100000
13.980600,9.000000,-101.000000,-8.000000,11.000000,15.000000,17.000000,14.630000,12806666.000000,1865.100000
8.394540,8.000000,-108.000000,-8.000000,1.000000,12.000000,17.000000,7.900000,12806666.000000,1865.100000
7.013850,5.000000,-107.000000,-8.000000,1.000000,9.000000,17.000000,0.000000,12806666.000000,1865.100000
8.515170,4.000000,-106.000000,-7.000000,2.000000,15.000000,17.000000,8.760000,12806666.000000,1865.100000
3.549250,2.000000,-109.000000,-10.000000,8.000000,15.000000,17.000000,14.560000,12806666.000000,1865.100000
7.881770,9.000000,-108.000000,-10.000000,8.000000,6.000000,17.000000,7.770000,12806666.000000,1865.100000
6.454220,10.000000,-109.000000,-10.000000,1.000000,8.000000,17.000000,6.880000,12806666.000000,1865.100000
3.617450,2.000000,-109.000000,-12.000000,0.000000,11.000000,17.000000,8.010000,12806666.000000,1865.100000
3.583430,2.000000,-105.000000,-8.000000,8.000000,10.000000,17.000000,7.650000,12806666.000000,1865.100000
2.111930,0.500000,-111.000000,-11.000000,-1.000000,8.000000,17.000000,9.350000,12806666.000000,1865.100000
2.988420,6.000000,-109.000000,-14.000000,-8.000000,6.000000,71.000000,10.440000,13067274.000000,1865.100000
3.786090,5.000000,-110.000000,-14.000000,-2.000000,7.000000,71.000000,8.790000,13067274.000000,1865.100000
3.016590,3.000000,-108.000000,-14.000000,-2.000000,8.000000,71.000000,11.660000,13067274.000000,1865.100000
